lat,lon,ele,time,temperature,ds,dt,v,a,dh,phi,F_D,F_H,F_A,F_Antrieb
47.583114,12.170826,494.888597,2024-08-23 16:21:14.187000+00:00,28.6996806550406,,,,,,,,,,
47.58291,12.170766,494.888597,2024-08-23 16:21:16.665000+00:00,28.85415312510336,23.1258514176239,2.478,9.332466270227561,,0.0,0.0,24.005539167535247,0.0,,
47.58282,12.170733,494.888597,2024-08-23 16:21:17.800000+00:00,28.6991466938853,10.30908002978211,1.135,9.082889894081156,-0.21989108030520335,0.0,0.0,22.738756233217938,0.0,-21.989108030520335,0.7496482026976032
47.582361,12.170592,494.888597,2024-08-23 16:21:23.180000+00:00,29.92613909225447,52.12262430082589,5.38,9.688220130265035,0.11251491378882526,0.0,0.0,25.87060606123778,0.0,11.251491378882527,37.12209744012031
47.58204,12.170486,494.421468,2024-08-23 16:21:26.780000+00:00,28.993251387631037,36.56830792373178,3.6,10.157863312147716,0.1304564394118558,-0.4671289999999999,-0.012773453858836036,28.43959031069373,-12.530417482866074,13.045643941185581,28.954816769013238
47.58181,12.170483,493.881502,2024-08-23 16:21:30.342000+00:00,28.47114453552205,25.575822981050255,3.562,7.180186126066888,-0.8359565373612656,-0.5399659999999926,-0.021109224722941033,14.209866941868047,-20.706611564416807,-83.59565373612656,-90.09239835867533
47.581595,12.170488,493.376709,2024-08-23 16:21:33.693000+00:00,29.411272456051595,23.909850552440687,3.351,7.135138929406352,-0.013442911566856501,-0.5047930000000065,-0.02110920845366625,14.032125953744464,-20.70659560781403,-1.3442911566856501,-8.018760810755216
47.581237,12.170422,492.5298,2024-08-23 16:21:39.198000+00:00,28.38957817501449,40.1144092255026,5.505,7.286904491462779,0.027568676122874922,-0.8469089999999824,-0.02110920287332805,14.635405554284928,-20.706590134721882,2.7568676122874924,-3.3143169681494618
47.580869,12.170301,491.644894,2024-08-23 16:21:43.213000+00:00,29.10443179750238,41.91412279791215,4.015,10.439383013178618,0.7851752233414296,-0.8849060000000009,-0.021109222839591973,30.03781031491653,-20.706609717263,78.51752233414297,87.8487229317965
47.580779,12.170241,491.413231,2024-08-23 16:21:44.221000+00:00,28.020164938060116,10.972895030063437,1.008,10.88580856157087,0.4428824884843771,-0.23166300000002593,-0.02110915933557482,32.66179072829614,-20.706547433701466,44.28824884843771,56.243492143032384
47.580629,12.170168,491.042604,2024-08-23 16:21:45.877000+00:00,28.335906975550785,17.554998080575984,1.656,10.600844251555547,-0.17207989735224885,-0.37062700000001314,-0.02110919901056675,30.974158369356612,-20.706586346197284,-17.207989735224885,-6.940417712065557
47.580395,12.170073,490.484815,2024-08-23 16:21:48.366000+00:00,29.09843061793456,26.977680733817586,2.489,10.838762850067331,0.09558802672229195,-0.557788999999957,-0.02067299787364211,32.380088770574915,-20.278766409684334,9.558802672229195,21.660125033119776
